,Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
0,Danny Ings,AVL,BRE,F,95.0,0.86,0.02,1.15,0.43,0.22,4.97,8.19,0.25,0.01,1.83,0.56,0.50,0.01,0.25,0.21,0.11,0.14,0.34,1.10,0.00,0.39,0.47,0.11,0.00
1,Raheem Sterling,MCI,ARS,F/M,95.0,0.75,0.05,1.90,1.03,0.81,19.51,22.96,1.63,0.39,0.57,1.79,1.28,0.07,0.34,0.21,0.02,0.25,0.48,0.75,0.00,1.69,0.54,0.00,0.00
2,Son Heung-Min,TOT,WAT,F/M,95.0,0.65,0.02,1.74,0.67,0.41,8.86,11.62,1.68,0.19,0.80,0.99,0.68,0.01,0.09,0.05,0.01,0.04,0.48,0.76,0.00,0.69,0.33,0.02,0.00
3,Callum Wilson,NEW,SOU,F,95.0,0.63,0.10,2.06,0.78,0.59,8.07,10.38,0.57,0.09,1.47,1.04,0.85,0.01,0.44,0.40,0.11,0.31,0.26,1.37,0.00,0.77,0.92,0.15,0.00
4,Harry Kane,TOT,WAT,F,95.0,0.63,0.05,1.53,0.67,0.58,7.76,10.86,0.81,0.09,1.06,0.95,0.63,0.02,0.28,0.17,0.03,0.11,0.48,0.76,0.00,0.69,0.57,0.05,0.00
5,Teemu Pukki,NOR,LEI,F,95.0,0.62,0.10,1.28,0.61,0.53,7.97,10.85,0.25,0.01,0.90,0.54,0.73,0.19,0.62,0.21,0.01,0.31,0.17,1.75,0.00,0.74,0.65,0.02,0.00
6,Bruno Fernandes,MUN,WOL,F/M,95.0,0.61,0.06,1.66,0.82,1.24,17.36,21.63,1.95,0.27,0.39,0.25,1.20,0.10,0.19,0.11,0.00,0.79,0.38,0.99,0.00,0.61,0.34,0.19,0.00
7,Adam Armstrong,SOU,NEW,F,95.0,0.59,0.17,1.62,0.85,0.45,5.93,9.72,0.59,0.10,1.50,0.36,0.98,0.04,0.58,0.31,0.01,0.41,0.23,1.48,0.00,0.69,0.72,0.01,0.00
8,Diogo Jota,LIV,CHE,F,95.0,0.56,0.02,1.36,0.71,0.59,8.43,10.58,0.09,0.01,0.63,0.54,0.74,0.01,1.22,0.38,0.07,0.37,0.29,1.25,0.00,1.10,0.71,0.02,0.00
9,Patrick Bamford,LEE,BRN,F,95.0,0.53,0.18,1.53,0.36,0.61,8.65,11.00,0.09,0.02,0.48,0.46,1.06,0.19,0.50,0.13,0.01,0.32,0.26,1.35,0.00,0.41,0.62,0.27,0.00
10,Adama Traore,WOL,MUN,F/M,95.0,0.53,0.05,2.78,0.83,1.54,16.14,20.35,2.22,0.86,1.52,4.31,1.37,0.23,0.75,0.30,0.02,0.25,0.17,1.70,0.00,1.10,0.21,0.00,0.00
11,Michail Antonio,WHU,CRY,F,95.0,0.49,0.34,2.55,1.18,0.83,7.90,12.81,0.85,0.28,1.58,1.06,0.74,0.01,0.58,0.43,0.01,0.20,0.42,0.90,0.00,0.56,0.44,0.02,0.00
12,Mason Greenwood,MUN,WOL,F/M,95.0,0.47,0.01,2.07,0.97,0.55,8.95,11.40,1.20,0.02,0.39,1.34,1.08,0.02,0.29,0.15,0.01,0.17,0.38,0.99,0.00,0.68,0.54,0.10,0.00
13,Che Adams,SOU,NEW,F,95.0,0.43,0.28,1.30,0.53,0.66,6.35,11.83,0.38,0.10,2.55,0.47,1.51,0.15,1.00,0.62,0.01,0.83,0.23,1.48,0.00,1.64,1.36,0.01,0.00
14,Jamie Vardy,LEI,NOR,F,95.0,0.43,0.01,1.85,0.84,0.44,6.96,9.34,0.42,0.02,0.39,0.64,0.42,0.02,0.20,0.04,0.01,0.56,0.33,1.12,0.00,0.45,0.40,0.18,0.00
15,Allan Saint-Maximin,NEW,SOU,F/M,95.0,0.42,0.20,1.41,0.56,0.90,11.83,14.56,1.20,0.20,1.14,2.41,1.17,0.01,0.33,0.29,0.11,0.10,0.26,1.37,0.00,1.08,0.48,0.04,0.00
16,Dominic Calvert-Lewin,EVE,BHA,F,95.0,0.41,0.01,1.98,1.17,0.53,6.94,10.29,0.42,0.07,2.71,0.29,0.47,0.33,0.36,0.27,0.17,0.22,0.28,1.31,0.00,1.14,0.71,0.01,0.00
17,Riyad Mahrez,MCI,ARS,F/M,95.0,0.40,0.25,1.83,0.55,1.60,23.95,26.91,2.31,0.70,0.37,1.35,1.19,0.35,1.24,0.51,0.00,0.22,0.48,0.75,0.00,1.06,0.54,0.15,0.00
18,Sadio Mane,LIV,CHE,F/M,95.0,0.39,0.05,2.62,1.31,1.54,13.76,18.77,1.43,0.70,1.52,1.46,1.05,0.07,0.43,0.30,0.02,0.57,0.29,1.25,0.00,0.78,0.37,0.00,0.00
19,Anwar El Ghazi,AVL,BRE,M,95.0,0.39,0.01,0.68,0.26,0.19,4.62,5.59,0.79,0.22,0.27,0.29,0.40,0.02,0.19,0.16,0.00,0.19,0.34,1.10,0.00,0.24,0.05,0.00,0.00
20,Youri Tielemans,LEI,NOR,M,95.0,0.38,0.01,0.99,0.51,0.43,41.00,48.12,0.34,0.07,0.83,0.53,0.94,1.07,1.90,1.29,0.59,1.07,0.33,1.12,0.00,1.10,0.70,0.03,0.00
21,Jack Grealish,MCI,ARS,F/M,95.0,0.37,0.01,1.22,0.35,0.92,34.37,39.89,1.60,0.25,0.88,1.20,0.40,0.36,1.70,1.19,0.04,0.47,0.48,0.75,0.00,1.21,1.50,0.20,0.00
22,Said Benrahma,WHU,CRY,F/M,95.0,0.36,0.74,1.42,0.88,1.54,21.96,26.55,2.61,0.31,0.60,1.01,1.69,0.18,0.92,0.57,0.00,0.30,0.42,0.90,0.00,0.60,0.64,0.08,0.00
23,Sergi Canos,BRE,AVL,M,95.0,0.35,0.03,0.82,0.41,0.94,11.74,16.20,2.56,0.48,0.24,0.28,0.60,0.85,2.62,0.75,0.16,0.30,0.20,1.59,0.00,0.35,0.68,0.05,0.00
24,Milot Rashica,NOR,LEI,F,95.0,0.34,0.04,1.09,0.33,0.83,10.21,11.76,2.12,0.61,0.52,0.69,0.49,0.04,0.66,0.09,0.18,0.48,0.17,1.75,0.00,0.63,0.30,0.00,0.00
25,Chris Wood,BRN,LEE,F,95.0,0.34,0.02,1.73,1.05,0.66,8.73,12.57,0.25,0.01,2.62,0.81,0.94,0.17,0.30,0.23,0.04,0.15,0.21,1.55,0.00,0.63,0.58,0.02,0.00
26,Ashley Barnes,BRN,LEE,F,95.0,0.34,0.02,1.44,1.00,1.23,9.07,12.74,0.25,0.01,2.44,0.86,0.59,0.34,0.47,0.23,0.21,0.33,0.21,1.55,0.00,0.69,1.10,0.02,0.00
27,Mateusz Klich,LEE,BRN,M,95.0,0.34,0.01,1.09,0.49,0.86,32.55,38.66,1.09,0.13,0.41,0.61,0.46,0.40,1.51,0.81,0.03,0.29,0.26,1.35,0.00,0.58,0.86,0.02,0.00
28,Reece James,CHE,LIV,M/D,95.0,0.33,0.24,1.12,0.27,1.10,19.70,21.65,2.71,0.58,0.32,0.13,0.39,0.48,1.51,0.92,0.01,0.35,0.26,1.35,0.00,0.59,0.30,0.02,0.00
29,Aaron Connolly,BHA,EVE,F,95.0,0.33,0.12,0.96,0.43,0.30,4.20,6.32,0.09,0.01,0.73,0.37,0.87,0.01,0.32,0.16,0.01,0.25,0.34,1.11,0.00,0.55,0.52,0.14,0.00
30,Raphinha,LEE,BRN,F/M,95.0,0.32,0.01,0.99,0.25,0.40,8.14,11.46,2.06,0.54,0.09,0.45,0.37,0.30,0.72,0.43,0.01,0.06,0.26,1.35,0.00,0.87,0.24,0.13,0.00
31,James Tarkowski,BRN,LEE,D,95.0,0.31,0.13,1.16,0.24,0.15,24.90,32.27,0.01,0.00,3.05,0.35,0.33,1.03,1.09,0.80,0.85,3.21,0.21,1.55,0.00,0.59,0.81,0.24,0.00
32,Jacob Murphy,NEW,SOU,M/D,95.0,0.31,0.01,0.54,0.17,0.49,14.52,20.20,1.63,0.65,0.62,0.74,0.88,0.79,1.81,0.67,0.05,0.66,0.26,1.37,0.00,0.31,0.74,0.17,0.00
33,Emmanuel Dennis,WAT,TOT,F,95.0,0.30,0.19,1.92,0.73,1.15,8.37,11.92,0.71,0.20,1.09,0.83,0.64,0.02,1.07,0.85,0.01,0.06,0.12,1.96,0.00,1.34,1.09,0.09,0.00
34,Alexis Mac Allister,BHA,EVE,F/M,95.0,0.30,0.00,1.27,0.26,1.15,13.80,17.77,1.09,0.27,0.37,0.72,0.79,0.53,2.06,0.98,0.11,0.43,0.34,1.11,0.00,0.26,0.62,0.07,0.00
35,Luke Ayling,LEE,BRN,D,95.0,0.29,0.08,0.47,0.19,0.75,27.47,33.77,1.52,0.58,1.10,0.18,0.15,0.51,1.18,0.59,0.33,1.15,0.26,1.35,0.00,0.39,0.09,0.02,0.00
36,Kelechi Iheanacho,LEI,NOR,F,95.0,0.28,0.01,1.18,0.51,0.21,4.74,6.45,0.20,0.02,0.28,0.53,0.31,0.02,0.20,0.04,0.01,0.23,0.33,1.12,0.00,0.34,0.29,0.07,0.00
37,Pablo Fornals,WHU,CRY,M,95.0,0.26,0.63,1.20,0.76,1.95,25.73,31.57,1.84,0.41,0.60,1.01,1.46,0.29,1.24,0.57,0.00,0.19,0.42,0.90,0.00,0.81,0.74,0.08,0.00
38,Shane Duffy,BHA,EVE,D,95.0,0.26,0.09,1.45,0.49,0.29,53.38,58.59,0.01,0.00,3.84,0.14,0.03,0.80,1.13,0.71,1.18,3.45,0.34,1.11,0.00,0.38,0.74,0.29,0.00
39,Ismaila Sarr,WAT,TOT,F/M,95.0,0.26,0.03,1.14,0.41,1.42,13.96,17.31,2.72,0.64,0.87,1.23,1.39,0.53,0.72,0.28,0.01,0.14,0.12,1.96,0.00,1.46,0.68,0.05,0.00
40,John McGinn,AVL,BRE,M,95.0,0.26,0.01,1.06,0.33,0.74,23.40,29.02,1.54,0.58,1.40,0.58,0.76,1.30,1.48,0.89,0.02,1.66,0.34,1.10,0.00,1.58,1.05,0.08,0.00
41,Jadon Sancho,MUN,WOL,F/M,95.0,0.25,0.06,1.03,0.40,0.71,11.34,13.82,1.10,0.16,0.28,0.25,0.78,0.10,0.19,0.11,0.00,0.47,0.38,0.99,0.00,0.40,0.23,0.08,0.00
42,Christian Norgaard,BRE,AVL,M,95.0,0.24,0.04,0.67,0.20,0.53,21.86,28.47,0.85,0.16,1.04,0.56,0.62,0.71,2.28,0.96,0.03,0.74,0.20,1.59,0.00,0.80,1.41,0.32,0.00
43,Wilfred Ndidi,LEI,NOR,M,95.0,0.24,0.01,0.67,0.30,0.32,41.21,47.70,0.24,0.07,1.25,0.74,0.94,1.39,1.90,1.08,0.27,1.39,0.33,1.12,0.00,0.68,0.70,0.03,0.00
44,Fred,MUN,WOL,M,95.0,0.24,0.00,0.65,0.43,0.70,40.31,48.99,0.21,0.04,1.68,0.87,1.08,1.07,2.10,1.36,0.45,0.94,0.38,0.99,0.00,1.23,0.83,0.01,0.00
45,Christian Benteke,CRY,WHU,F,95.0,0.23,0.07,0.94,0.22,0.52,9.63,13.39,0.36,0.07,2.71,1.19,1.12,0.02,0.14,0.10,0.31,0.53,0.15,1.84,0.00,1.42,0.97,0.21,0.00
46,Marcos Alonso,CHE,LIV,M/D,95.0,0.23,0.00,0.58,0.36,1.29,14.25,17.47,1.77,0.58,0.89,0.36,0.33,0.95,0.83,0.57,0.03,0.77,0.26,1.35,0.00,0.76,0.29,0.02,0.00
47,Mohamed Salah,LIV,CHE,F/M,95.0,0.22,0.45,2.44,0.98,1.92,18.77,22.67,1.01,0.18,0.53,1.41,1.21,0.29,0.72,0.45,0.00,0.22,0.29,1.25,0.00,0.96,0.59,0.15,0.00
48,Wilfried Zaha,CRY,WHU,F/M,95.0,0.21,0.21,1.15,0.37,1.14,16.06,19.69,1.01,0.34,0.57,1.31,1.21,0.51,1.05,0.41,0.00,0.27,0.15,1.84,0.00,1.73,0.85,0.06,0.00
49,Joel Ward,CRY,WHU,D,95.0,0.21,0.00,0.55,0.09,0.33,18.92,24.19,0.80,0.39,0.73,0.63,0.55,0.93,1.36,0.70,0.20,1.52,0.15,1.84,0.00,0.15,0.40,0.26,0.00
50,Mason Mount,CHE,LIV,M,95.0,0.20,0.28,2.48,0.81,1.46,29.98,34.46,3.24,0.66,0.41,0.73,1.31,0.17,0.96,0.34,0.00,0.97,0.26,1.35,0.00,1.30,0.72,0.04,0.00
51,Kai Havertz,CHE,LIV,F/M,95.0,0.20,0.17,2.61,0.79,1.02,30.07,35.03,1.69,0.33,0.61,0.82,1.29,0.17,0.52,0.23,0.00,1.14,0.26,1.35,0.00,0.74,0.89,0.04,0.00
52,Tomas Soucek,WHU,CRY,M,95.0,0.20,0.11,1.61,0.43,0.49,38.32,43.80,0.52,0.23,1.90,0.79,0.71,0.95,2.34,1.42,0.20,1.33,0.42,0.90,0.00,0.55,0.89,0.09,0.00
53,Dele Alli,TOT,WAT,M,95.0,0.19,0.18,0.47,0.14,0.38,33.38,39.18,0.31,0.05,0.27,1.06,1.51,1.17,2.44,1.50,0.52,0.98,0.48,0.76,0.00,0.71,0.61,0.05,0.00
54,Pierre-Emerick Aubameyang,ARS,MCI,F/M,95.0,0.19,0.14,1.90,0.59,1.16,24.17,28.26,1.83,0.33,0.63,0.91,1.37,0.22,0.50,0.29,0.00,0.69,0.08,2.28,0.00,0.88,0.49,0.07,0.00
55,Davinson Sanchez,TOT,WAT,D,95.0,0.19,0.01,0.65,0.16,0.04,36.99,42.32,0.09,0.00,1.90,0.14,0.03,0.51,1.17,0.67,1.32,3.83,0.48,0.76,0.00,0.19,0.85,0.36,0.00
56,Eric Dier,TOT,WAT,D,95.0,0.19,0.01,0.65,0.26,0.04,36.77,42.42,0.09,0.00,1.69,0.14,0.03,0.82,0.54,0.35,0.90,3.83,0.48,0.76,0.00,0.30,0.64,0.25,0.00
57,Bryan Mbeumo,BRE,AVL,F/M,95.0,0.18,0.07,2.42,0.45,1.19,9.48,14.91,1.54,0.42,1.09,0.99,0.62,0.02,1.13,0.52,0.01,0.51,0.20,1.59,0.00,1.15,1.20,0.15,0.00
58,Ivan Toney,BRE,AVL,F,95.0,0.18,0.07,2.36,0.66,0.83,9.35,15.23,0.94,0.19,2.25,0.97,0.71,0.02,0.99,0.62,0.01,0.50,0.20,1.59,0.00,1.34,1.51,0.15,0.00
59,Richarlison,EVE,BHA,F,95.0,0.17,0.42,1.55,0.33,1.69,19.49,23.97,1.17,0.24,1.08,1.09,1.65,0.30,0.95,0.53,0.00,0.74,0.28,1.31,0.00,1.08,1.01,0.22,0.00
60,James Maddison,LEI,NOR,M,95.0,0.17,0.08,1.30,0.34,1.09,21.24,26.40,1.14,0.19,0.73,0.60,1.04,0.54,0.95,0.40,0.00,0.41,0.33,1.12,0.00,1.09,0.30,0.04,0.00
61,Ruben Dias,MCI,ARS,D,95.0,0.16,0.28,0.27,0.09,0.57,53.43,59.53,0.07,0.00,1.42,0.22,0.51,0.62,0.87,0.58,0.61,2.29,0.48,0.75,0.00,0.13,0.11,0.02,0.00
62,Aymeric Laporte,MCI,ARS,D,95.0,0.16,0.17,0.27,0.09,0.36,36.44,41.27,0.07,0.00,1.00,0.22,0.30,0.62,0.56,0.37,0.40,1.98,0.48,0.75,0.00,0.13,0.11,0.02,0.00
63,Raul Jimenez,WOL,MUN,F,95.0,0.16,0.02,2.15,0.25,1.70,10.81,15.23,0.52,0.01,1.39,0.62,1.56,0.20,0.49,0.19,0.01,0.34,0.17,1.70,0.00,1.28,1.35,0.17,0.00
64,Ilkay Gundogan,MCI,ARS,M,95.0,0.16,0.01,1.00,0.12,0.94,33.90,39.69,2.34,0.49,0.88,0.86,0.52,0.25,1.71,0.97,0.16,0.48,0.48,0.75,0.00,0.52,1.63,0.21,0.00
65,Rodri,MCI,ARS,M,95.0,0.16,0.01,0.76,0.12,0.58,24.58,29.18,1.02,0.25,0.88,0.50,0.28,0.25,1.35,0.85,0.04,0.36,0.48,0.75,0.00,0.52,1.27,0.09,0.00
66,Emile Smith-Rowe,ARS,MCI,F/M,95.0,0.15,0.08,1.73,0.66,1.00,25.93,29.29,1.61,0.35,0.65,1.35,1.00,0.14,0.36,0.21,0.00,0.41,0.08,2.28,0.00,0.97,0.46,0.04,0.00
67,Jordan Ayew,CRY,WHU,F,95.0,0.15,0.05,0.92,0.34,0.92,16.46,20.02,2.40,0.49,0.87,0.86,1.50,0.51,1.86,0.63,0.03,0.41,0.15,1.84,0.00,0.71,0.87,0.08,0.00
68,Aaron Cresswell,WHU,CRY,D,95.0,0.15,0.05,0.66,0.19,0.67,32.09,37.75,3.92,0.55,0.70,0.24,0.35,0.71,1.43,0.83,0.43,0.97,0.42,0.90,0.00,0.54,0.53,0.05,0.00
69,Demarai Gray,EVE,BHA,F/M,95.0,0.15,0.00,0.30,0.15,0.66,7.31,9.40,2.20,0.51,0.08,0.61,0.96,0.35,0.75,0.55,0.21,0.56,0.28,1.31,0.00,0.11,0.45,0.02,0.00
70,Ben Mee,BRN,LEE,D,95.0,0.14,0.13,0.85,0.13,0.15,25.85,33.54,0.01,0.00,3.16,0.35,0.22,0.93,1.09,0.70,0.74,2.79,0.21,1.55,0.00,0.59,0.81,0.14,0.00
71,Andros Townsend,EVE,BHA,F/M,95.0,0.14,0.02,1.40,0.47,0.89,11.04,13.80,2.38,0.55,0.39,0.81,0.80,0.17,0.60,0.31,0.10,0.32,0.28,1.31,0.00,0.48,0.37,0.00,0.10
72,Abdoulaye Doucoure,EVE,BHA,M,95.0,0.13,0.26,1.34,0.49,0.76,24.98,31.63,1.08,0.13,1.11,0.98,0.88,0.76,1.49,0.77,0.40,1.50,0.28,1.31,0.00,0.57,0.79,0.34,0.00
