,Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
73,Johann Berg Gudmundsson,BRN,LEE,M,95.0,0.13,0.04,0.82,0.20,0.63,11.63,14.62,2.82,0.56,0.31,1.60,0.88,0.18,1.34,0.50,0.07,0.54,0.21,1.55,0.00,0.43,1.00,0.21,0.00
74,Fabinho,LIV,CHE,M/D,95.0,0.13,0.04,0.71,0.20,0.66,33.10,39.43,0.60,0.10,1.16,0.67,0.79,0.94,1.69,1.30,0.35,0.95,0.29,1.25,0.00,0.75,1.74,0.28,0.00
75,Oghenekaro Etebo,WAT,TOT,M,95.0,0.13,0.01,0.64,0.19,0.45,28.60,33.61,0.21,0.07,1.04,0.79,0.63,1.26,1.74,0.97,0.30,0.67,0.12,1.96,0.00,0.94,0.81,0.19,0.00
76,Romain Perraud,SOU,NEW,D,95.0,0.13,0.01,0.22,0.10,0.41,14.22,18.75,2.37,0.21,0.54,0.06,0.25,0.74,1.10,0.88,0.11,1.16,0.23,1.48,0.00,0.49,0.91,0.01,0.00
77,Lewis Dunk,BHA,EVE,D,95.0,0.12,0.09,0.71,0.18,0.29,54.54,59.85,0.01,0.00,2.47,0.14,0.03,0.91,0.92,0.50,0.86,2.71,0.34,1.11,0.00,0.27,0.64,0.18,0.00
78,Nicolas Pepe,ARS,MCI,F,95.0,0.12,0.02,1.72,0.52,1.21,17.38,21.21,3.87,0.79,0.63,1.42,0.96,0.46,0.50,0.26,0.07,0.40,0.08,2.28,0.00,0.40,0.92,0.00,0.07
79,Albert Sambi Lokonga,ARS,MCI,M,95.0,0.12,0.01,1.15,0.38,0.80,41.93,48.81,0.63,0.33,1.09,0.58,0.78,1.31,1.48,0.76,0.17,0.73,0.08,2.28,0.00,0.94,1.04,0.16,0.00
80,Romelu Lukaku,CHE,LIV,F,95.0,0.12,0.01,1.09,0.56,0.75,6.54,9.00,0.09,0.02,1.66,0.57,0.50,0.02,0.28,0.04,0.15,0.32,0.26,1.35,0.00,0.62,0.47,0.01,0.00
81,Granit Xhaka,ARS,MCI,M,95.0,0.12,0.01,1.04,0.27,0.90,43.30,50.49,0.63,0.33,1.72,0.79,1.00,1.31,1.69,0.97,0.27,0.73,0.08,2.28,0.00,0.94,1.15,0.05,0.00
82,Pascal Gross,BHA,EVE,M,95.0,0.11,0.30,0.91,0.51,1.47,20.13,23.06,4.48,1.18,0.25,0.75,0.47,0.18,0.99,0.38,0.07,0.78,0.34,1.11,0.00,0.37,0.32,0.04,0.00
83,Solomon March,BHA,EVE,M,95.0,0.11,0.09,0.70,0.41,1.26,16.64,20.21,2.90,0.86,0.35,0.64,0.36,0.18,1.52,0.59,0.07,0.78,0.34,1.11,0.00,0.58,0.63,0.15,0.00
84,Nemanja Matic,MUN,WOL,M,95.0,0.11,0.00,0.72,0.50,0.47,44.72,54.28,0.21,0.04,2.41,1.12,1.39,1.56,1.82,1.32,0.33,1.37,0.38,0.99,0.00,0.78,0.96,0.01,0.00
85,Declan Rice,WHU,CRY,M,95.0,0.10,0.21,0.98,0.22,0.91,41.38,45.91,0.62,0.44,1.48,1.21,0.50,1.37,2.13,1.64,0.41,1.22,0.42,0.90,0.00,0.65,1.00,0.09,0.00
86,Cesar Azpilicueta,CHE,LIV,D,95.0,0.10,0.07,0.57,0.10,0.43,25.08,27.28,1.68,0.24,0.27,0.13,0.34,0.39,1.93,0.90,0.13,0.54,0.26,1.35,0.00,0.26,0.13,0.02,0.00
87,Theo Walcott,SOU,NEW,F/M,95.0,0.10,0.05,0.58,0.17,0.75,14.22,18.53,2.35,0.49,0.59,0.75,0.65,0.34,1.87,0.92,0.03,0.24,0.23,1.48,0.00,0.77,0.53,0.08,0.00
88,Nelson Semedo,WOL,MUN,D,95.0,0.09,0.02,0.55,0.07,0.45,9.14,11.87,1.98,0.36,0.17,0.68,0.10,0.28,1.33,0.66,0.08,0.18,0.17,1.70,0.00,0.59,0.35,0.18,0.00
89,Jarrod Bowen,WHU,CRY,F/M,95.0,0.08,0.06,1.15,0.60,1.90,14.20,18.36,4.93,2.03,0.63,0.95,1.17,0.21,1.61,0.99,0.18,0.13,0.42,0.90,0.00,0.72,0.25,0.00,0.02
90,Craig Dawson,WHU,CRY,D,95.0,0.08,0.01,1.09,0.09,0.25,47.04,52.34,0.01,0.00,3.22,0.15,0.05,0.86,0.34,0.18,0.52,2.36,0.42,0.90,0.00,0.52,0.75,0.02,0.00
91,Angelo Ogbonna,WHU,CRY,D,95.0,0.08,0.01,0.56,0.09,0.14,47.78,52.66,0.01,0.00,2.38,0.15,0.05,0.97,0.55,0.39,0.41,1.72,0.42,0.90,0.00,0.52,0.64,0.02,0.00
92,Moussa Djenepo,SOU,NEW,F/M,95.0,0.08,0.00,0.54,0.14,0.81,13.89,20.07,1.43,0.57,0.34,1.86,1.20,0.75,1.61,0.53,0.11,1.02,0.23,1.48,0.00,0.80,1.23,0.24,0.00
93,Ryan Bertrand,LEI,NOR,D,95.0,0.07,0.05,0.63,0.24,0.31,70.59,78.31,0.07,0.01,2.21,0.11,0.21,0.86,0.87,0.53,0.56,3.87,0.33,1.12,0.00,0.34,0.61,0.07,0.00
94,Harvey Barnes,LEI,NOR,F/M,95.0,0.06,0.27,0.93,0.41,1.13,19.15,24.10,1.13,0.11,0.94,1.05,0.90,0.23,0.52,0.27,0.00,0.46,0.33,1.12,0.00,0.73,0.68,0.09,0.00
95,Francisco Trincao,WOL,MUN,F,95.0,0.06,0.14,1.86,1.02,1.64,18.50,21.67,1.69,0.35,0.37,1.78,1.24,0.79,1.06,0.79,0.00,0.22,0.17,1.70,0.00,0.80,0.60,0.15,0.00
96,Daniel Amartey,LEI,NOR,M/D,95.0,0.06,0.04,0.38,0.17,0.22,65.79,71.69,0.01,0.00,1.36,0.02,0.15,0.58,0.63,0.38,0.43,2.67,0.33,1.12,0.00,0.17,0.47,0.01,0.00
97,Caglar Soyuncu,LEI,NOR,D,95.0,0.06,0.04,0.38,0.17,0.22,68.43,75.07,0.01,0.00,1.36,0.02,0.36,0.58,0.73,0.49,0.32,3.52,0.33,1.12,0.00,0.49,0.58,0.01,0.00
98,Dwight McNeil,BRN,LEE,F/M,95.0,0.06,0.00,0.64,0.25,0.94,11.17,14.17,3.56,0.78,0.30,1.32,0.94,0.80,1.19,0.88,0.79,0.42,0.21,1.55,0.00,0.31,0.66,0.07,0.00
99,Rico Henry,BRE,AVL,D,95.0,0.06,0.00,0.21,0.09,0.70,12.37,16.46,1.05,0.40,0.38,1.01,0.89,0.85,0.88,0.67,0.22,0.63,0.20,1.59,0.00,0.46,0.48,0.03,0.00
100,Joao Cancelo,MCI,ARS,D,95.0,0.05,0.06,0.89,0.05,0.86,36.19,42.17,2.08,0.54,1.41,0.99,0.73,1.22,1.40,0.74,0.20,1.22,0.48,0.75,0.00,0.49,0.70,0.07,0.00
101,Kyle Walker,MCI,ARS,D,95.0,0.05,0.06,0.47,0.05,0.55,23.42,27.71,1.45,0.43,0.89,0.68,0.41,0.70,0.98,0.52,0.20,0.90,0.48,0.75,0.00,0.38,0.49,0.07,0.00
102,Leandro Trossard,BHA,EVE,F/M,95.0,0.05,0.00,0.92,0.08,0.60,14.46,19.03,1.48,0.27,0.32,0.93,1.38,0.35,1.35,0.69,0.11,0.25,0.34,1.11,0.00,0.64,0.56,0.07,0.00
103,Fernando Marcal,WOL,MUN,M/D,95.0,0.05,0.00,0.48,0.13,0.79,17.03,21.79,2.86,0.90,0.38,0.45,0.64,0.96,1.40,0.61,0.04,0.52,0.17,1.70,0.00,0.49,0.75,0.29,0.00
104,Mason Holgate,EVE,BHA,D,95.0,0.05,0.00,0.33,0.13,0.05,25.65,30.25,0.04,0.00,1.76,0.06,0.08,1.23,0.35,0.21,0.94,3.23,0.28,1.31,0.00,0.20,0.30,0.13,0.00
105,Yerry Mina,EVE,BHA,D,95.0,0.05,0.00,0.33,0.13,0.05,29.37,35.54,0.04,0.00,2.15,0.06,0.08,1.82,0.35,0.21,1.53,4.21,0.28,1.31,0.00,0.40,0.30,0.33,0.00
106,Frank Onyeka,BRE,AVL,M,95.0,0.04,0.04,0.84,0.22,0.78,19.26,24.98,0.87,0.29,1.33,0.84,0.87,0.40,2.51,1.23,0.03,0.86,0.20,1.59,0.00,1.31,1.51,0.22,0.00
107,Vitaly Janelt,BRE,AVL,M,95.0,0.04,0.04,0.68,0.09,0.74,20.79,27.43,0.96,0.16,1.15,0.46,0.73,0.50,2.50,1.39,0.03,0.84,0.20,1.59,0.00,1.13,1.20,0.22,0.00
108,Conor Gallagher,CRY,WHU,M,95.0,0.04,0.02,0.67,0.13,0.70,29.16,34.30,1.42,0.33,0.66,0.78,0.87,0.79,1.57,1.03,0.23,1.06,0.15,1.84,0.00,0.62,0.85,0.16,0.00
109,Ken Sema,WAT,TOT,F/M,95.0,0.04,0.00,0.38,0.09,0.89,9.46,13.87,1.24,0.41,0.22,0.70,1.43,0.37,0.75,0.19,0.06,0.48,0.12,1.96,0.00,0.47,0.83,0.20,0.00
110,Gabriel Jesus,MCI,ARS,F,95.0,0.03,0.59,1.20,0.35,1.88,29.00,32.41,1.82,0.30,0.37,1.29,0.96,0.52,1.01,0.68,0.00,0.22,0.48,0.75,0.00,0.86,1.06,0.15,0.00
111,Pierre-Emile Hojbjerg,TOT,WAT,M,95.0,0.03,0.18,0.58,0.04,0.59,36.69,42.60,0.52,0.05,0.17,1.38,0.98,1.28,2.33,1.60,0.30,0.77,0.48,0.76,0.00,0.50,0.61,0.16,0.00
112,Oliver Skipp,TOT,WAT,M,95.0,0.03,0.18,0.37,0.04,0.38,35.49,41.29,0.31,0.05,0.27,0.85,0.98,1.07,2.44,1.71,0.41,0.77,0.48,0.76,0.00,0.50,0.72,0.15,0.00
113,Lucas Moura,TOT,WAT,F/M,95.0,0.03,0.14,1.40,0.53,1.51,19.41,23.38,0.85,0.18,1.64,1.87,1.46,0.83,1.45,0.45,0.00,0.94,0.48,0.76,0.00,1.89,0.79,0.33,0.00
114,Joe Willock,NEW,SOU,M,95.0,0.03,0.06,0.84,0.10,0.80,30.70,36.14,1.71,0.32,0.83,0.53,0.83,0.81,1.66,1.06,0.18,0.75,0.26,1.37,0.00,0.67,0.97,0.16,0.00
115,Martin Odegaard,ARS,MCI,M,95.0,0.03,0.04,0.73,0.13,0.72,37.55,44.26,1.52,0.36,0.62,0.82,1.12,0.98,2.52,1.41,0.48,1.00,0.08,2.28,0.00,1.26,1.28,0.14,0.00
116,Antonio Rudiger,CHE,LIV,D,95.0,0.03,0.00,0.56,0.07,0.06,45.09,51.47,0.22,0.00,1.78,0.21,0.07,0.84,0.91,0.39,0.66,3.43,0.26,1.35,0.00,0.22,0.79,0.01,0.00
117,Andreas Christensen,CHE,LIV,D,95.0,0.03,0.00,0.56,0.07,0.06,50.05,55.59,0.12,0.00,1.99,0.32,0.07,1.27,0.80,0.39,0.55,3.64,0.26,1.35,0.00,0.12,0.89,0.01,0.00
118,Jack Harrison,LEE,BRN,M,95.0,0.03,0.00,0.33,0.15,0.51,7.61,10.66,0.91,0.10,0.20,0.79,0.28,0.26,0.54,0.21,0.03,0.12,0.26,1.35,0.00,0.23,0.25,0.02,0.00
119,Vladimir Coufal,WHU,CRY,M/D,95.0,0.02,0.22,0.26,0.05,0.86,29.91,37.10,2.24,0.54,1.04,0.57,0.36,0.80,1.87,1.10,0.20,1.70,0.42,0.90,0.00,0.43,0.75,0.07,0.00
120,Tyrone Mings,AVL,BRE,D,95.0,0.02,0.19,0.43,0.01,0.30,41.01,47.42,0.29,0.00,1.93,0.31,0.54,0.66,0.54,0.29,0.68,2.78,0.34,1.10,0.00,0.84,0.69,0.27,0.00
121,Ezri Konsa,AVL,BRE,D,95.0,0.02,0.09,0.32,0.01,0.30,39.00,45.31,0.29,0.00,2.14,0.21,0.54,0.56,0.54,0.29,0.57,2.99,0.34,1.10,0.00,0.94,0.48,0.16,0.00
122,Miguel Almiron,NEW,SOU,M,95.0,0.02,0.04,0.82,0.07,0.79,27.70,32.45,1.59,0.32,0.73,0.36,0.97,0.70,1.50,0.97,0.25,0.54,0.26,1.37,0.00,0.46,0.70,0.13,0.00
123,Sean Longstaff,NEW,SOU,M,95.0,0.02,0.04,0.61,0.07,0.58,22.53,26.44,1.28,0.22,0.62,0.36,0.66,0.59,1.19,0.76,0.15,0.54,0.26,1.37,0.00,0.46,0.70,0.13,0.00
124,Adam Webster,BHA,EVE,D,95.0,0.02,0.04,0.15,0.03,0.25,34.58,41.43,1.20,0.41,1.28,0.44,0.40,0.74,1.67,0.91,0.45,0.89,0.34,1.11,0.00,0.17,0.60,0.19,0.00
125,Lukas Rupp,NOR,LEI,M,95.0,0.02,0.03,1.30,0.04,0.65,33.26,39.24,1.33,0.44,0.59,0.54,0.72,0.57,1.69,1.16,0.34,1.17,0.17,1.75,0.00,0.81,0.58,0.03,0.00
126,Pierre Lees-Melou,NOR,LEI,M,95.0,0.02,0.03,0.84,0.04,0.87,32.35,38.64,1.61,0.65,0.56,0.40,0.65,0.67,2.25,1.30,0.51,1.10,0.17,1.75,0.00,0.95,0.69,0.03,0.00
127,Billy Gilmour,NOR,LEI,M,95.0,0.02,0.03,0.73,0.04,0.65,38.36,44.45,1.61,0.55,0.45,0.71,0.65,0.88,1.62,1.09,0.19,1.21,0.17,1.75,0.00,0.85,0.79,0.03,0.00
128,Ben Gibson,NOR,LEI,D,95.0,0.02,0.01,1.04,0.23,0.26,42.03,47.80,0.01,0.00,2.00,0.05,0.03,0.87,0.33,0.25,0.58,5.17,0.17,1.75,0.00,0.37,0.20,0.02,0.00
129,Grant Hanley,NOR,LEI,D,95.0,0.02,0.01,0.93,0.12,0.36,40.23,45.37,0.01,0.00,1.79,0.05,0.03,0.87,0.44,0.36,0.58,4.12,0.17,1.75,0.00,0.58,0.30,0.02,0.00
130,Brandon Williams,NOR,LEI,D,95.0,0.02,0.01,0.83,0.12,0.26,30.84,35.24,0.01,0.00,1.69,0.05,0.03,0.66,0.33,0.25,0.37,2.95,0.17,1.75,0.00,0.37,0.20,0.02,0.00
131,Matty Cash,AVL,BRE,D,95.0,0.02,0.01,0.63,0.01,0.42,22.97,29.37,1.57,0.26,1.43,0.10,0.73,1.04,1.59,1.31,0.13,0.83,0.34,1.10,0.00,0.47,0.43,0.10,0.00
132,James McArthur,CRY,WHU,M,95.0,0.02,0.01,0.59,0.20,0.73,28.20,33.76,1.23,0.37,0.72,1.13,0.86,0.94,1.38,1.06,0.15,1.47,0.15,1.84,0.00,0.85,0.72,0.11,0.00
133,Cheikhou Kouyate,CRY,WHU,M/D,95.0,0.02,0.01,0.48,0.09,0.52,30.52,35.56,1.12,0.27,1.03,0.71,0.75,1.05,1.38,1.06,0.26,1.36,0.15,1.84,0.00,0.53,0.93,0.11,0.00
134,Max Kilman,WOL,MUN,D,95.0,0.02,0.01,0.38,0.14,0.31,34.64,41.57,0.26,0.00,1.26,0.54,0.07,2.12,2.70,1.49,0.77,2.34,0.17,1.70,0.00,0.05,0.27,0.18,0.00
135,Romain Saiss,WOL,MUN,D,95.0,0.02,0.01,0.28,0.03,0.42,35.26,42.46,0.27,0.00,1.59,0.33,0.07,1.92,2.07,1.39,0.66,2.36,0.17,1.70,0.00,0.05,0.38,0.18,0.00
136,Max Aarons,NOR,LEI,D,95.0,0.02,0.01,0.22,0.01,0.26,14.44,17.59,0.60,0.10,0.14,0.90,0.57,0.79,0.71,0.43,0.52,0.82,0.17,1.75,0.00,0.54,0.58,0.02,0.00
137,Conor Coady,WOL,MUN,D,95.0,0.02,0.01,0.17,0.03,0.20,33.42,40.13,0.16,0.00,1.58,0.33,0.07,1.91,2.06,1.38,0.66,2.13,0.17,1.70,0.00,0.05,0.27,0.18,0.00
138,Paul Pogba,MUN,WOL,M,95.0,0.01,1.00,1.50,0.26,1.62,18.88,23.38,0.56,0.24,0.86,1.40,1.38,0.34,0.48,0.31,0.00,0.34,0.38,0.99,0.00,1.03,1.16,0.23,0.00
139,Jack Cork,BRN,LEE,M,95.0,0.01,0.19,1.03,0.12,0.70,19.32,25.10,1.69,0.32,0.84,0.53,0.70,0.73,1.48,0.85,0.21,1.32,0.21,1.55,0.00,0.28,0.91,0.11,0.00
140,Josh Brownhill,BRN,LEE,M,95.0,0.01,0.19,0.71,0.12,1.07,21.10,27.68,2.41,0.51,0.71,0.53,1.05,1.37,2.21,1.30,0.21,1.37,0.21,1.55,0.00,0.47,0.88,0.11,0.00
141,Trent Alexander-Arnold,LIV,CHE,D,95.0,0.01,0.17,0.54,0.17,1.76,21.73,26.53,3.61,1.68,0.62,0.18,0.64,0.79,1.18,0.75,0.21,1.37,0.29,1.25,0.00,0.07,0.27,0.02,0.00
142,Ricardo Pereira,LEI,NOR,M/D,95.0,0.01,0.16,0.47,0.01,0.49,23.43,29.10,1.28,0.55,0.81,0.71,0.47,0.77,1.13,0.54,0.28,0.73,0.33,1.12,0.00,0.47,0.40,0.18,0.00
143,Liam Cooper,LEE,BRN,D,95.0,0.01,0.13,0.94,0.25,0.41,46.65,52.53,0.19,0.00,3.00,0.04,0.19,1.43,2.21,1.32,0.84,3.12,0.26,1.35,0.00,0.39,0.49,0.32,0.00
144,Stuart Dallas,LEE,BRN,M/D,95.0,0.01,0.11,0.46,0.11,0.80,32.64,38.35,1.47,0.23,0.51,0.91,0.33,0.82,1.66,1.11,0.14,0.40,0.26,1.35,0.00,1.00,0.71,0.02,0.00
145,Tyrick Mitchell,CRY,WHU,D,95.0,0.01,0.09,0.14,0.02,0.47,18.70,23.77,1.63,0.37,0.67,0.06,1.10,1.16,0.81,0.59,0.03,1.16,0.15,1.84,0.00,0.24,0.45,0.01,0.00
