,Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
146,Todd Cantwell,NOR,LEI,M,95.0,0.01,0.08,0.70,0.23,0.96,15.23,17.76,0.56,0.12,0.39,0.63,1.13,0.49,1.59,1.43,0.00,0.31,0.17,1.75,0.00,1.66,0.45,0.27,0.00
147,Aaron Wan-Bissaka,MUN,WOL,D,95.0,0.01,0.08,0.07,0.01,0.49,19.31,24.90,1.04,0.47,0.33,0.39,0.47,0.77,1.13,0.62,0.28,0.89,0.38,0.99,0.00,0.15,0.56,0.10,0.00
148,Naby Keita,LIV,CHE,M,95.0,0.01,0.03,0.66,0.04,0.82,35.71,41.15,1.22,0.38,0.32,0.61,0.72,0.47,2.15,1.48,0.07,0.77,0.29,1.25,0.00,0.79,1.10,0.05,0.00
149,Jordan Henderson,LIV,CHE,M,95.0,0.01,0.03,0.54,0.04,0.70,26.21,30.49,1.10,0.38,0.32,0.61,0.49,0.47,1.11,0.78,0.07,0.77,0.29,1.25,0.00,0.67,0.64,0.05,0.00
150,Emiliano Buendia,AVL,BRE,M,95.0,0.01,0.03,0.33,0.09,0.60,8.28,10.39,1.29,0.17,0.21,0.43,1.03,0.19,0.54,0.35,0.00,0.05,0.34,1.10,0.00,0.44,0.23,0.16,0.00
151,Pascal Struijk,LEE,BRN,M/D,95.0,0.01,0.02,0.94,0.25,0.30,46.02,52.43,0.09,0.00,2.90,0.04,0.09,1.53,1.79,1.11,0.63,3.44,0.26,1.35,0.00,0.28,0.18,0.11,0.00
152,Ruben Neves,WOL,MUN,M,95.0,0.01,0.01,1.48,0.51,1.77,33.02,41.23,2.83,1.05,0.49,0.50,0.63,0.86,2.82,1.75,0.15,1.10,0.17,1.70,0.00,0.22,1.22,0.01,0.00
153,Joao Moutinho,WOL,MUN,M,95.0,0.01,0.01,1.23,0.40,1.58,32.26,39.90,2.13,0.76,0.52,0.54,0.80,1.03,2.76,1.88,0.15,0.92,0.17,1.70,0.00,0.22,1.56,0.01,0.00
154,Joel Matip,LIV,CHE,D,95.0,0.01,0.01,1.15,0.15,0.30,39.74,46.51,0.01,0.00,3.00,0.02,0.03,0.70,1.29,0.89,1.28,3.35,0.29,1.25,0.00,0.49,0.47,0.25,0.00
155,Virgil van Dijk,LIV,CHE,D,95.0,0.01,0.01,1.15,0.04,0.51,40.48,47.25,0.01,0.00,2.79,0.02,0.03,0.70,1.08,0.79,1.39,3.66,0.29,1.25,0.00,0.28,0.36,0.25,0.00
156,Jacob Ramsey,AVL,BRE,M,95.0,0.01,0.01,0.92,0.23,0.56,23.12,28.70,1.05,0.51,1.23,0.61,0.55,0.99,1.83,1.31,0.02,1.77,0.34,1.10,0.00,1.76,1.37,0.08,0.00
157,Federico Fernandez,NEW,SOU,D,95.0,0.01,0.01,0.77,0.01,0.34,36.19,43.44,0.15,0.02,2.20,0.02,0.20,0.87,0.75,0.27,0.94,4.40,0.26,1.37,0.00,0.10,0.19,0.07,0.00
158,James Ward-Prowse,SOU,NEW,M,95.0,0.01,0.01,0.75,0.31,0.90,30.04,36.62,4.05,0.89,0.66,0.46,0.87,1.13,1.96,1.47,0.31,1.04,0.23,1.48,0.00,0.78,1.44,0.11,0.00
159,Andrew Robertson,LIV,CHE,D,95.0,0.01,0.01,0.73,0.04,0.30,27.39,32.37,0.01,0.00,1.94,0.02,0.03,0.60,1.08,0.79,1.28,2.50,0.29,1.25,0.00,0.28,0.36,0.25,0.00
160,Oriol Romeu,SOU,NEW,M,95.0,0.01,0.01,0.65,0.10,0.58,27.68,35.16,2.16,0.47,1.00,0.36,0.88,0.72,2.55,1.61,0.32,1.50,0.23,1.48,0.00,0.78,1.47,0.11,0.00
161,Douglas Luiz,AVL,BRE,M,95.0,0.01,0.01,0.64,0.23,0.42,17.49,21.95,0.91,0.37,1.08,0.47,0.55,0.99,1.26,0.89,0.02,1.34,0.34,1.10,0.00,1.05,0.95,0.08,0.00
162,Kieran Tierney,ARS,MCI,D,95.0,0.01,0.01,0.61,0.20,1.46,17.94,21.43,3.69,1.15,0.22,0.45,0.18,0.84,0.28,0.22,0.03,0.40,0.08,2.28,0.00,0.26,0.13,0.01,0.00
163,Jamaal Lascelles,NEW,SOU,D,95.0,0.01,0.01,0.55,0.01,0.23,25.44,32.13,0.15,0.02,1.75,0.02,0.20,0.76,0.75,0.27,0.49,3.16,0.26,1.37,0.00,0.10,0.19,0.07,0.00
164,Fabian Schar,NEW,SOU,D,95.0,0.01,0.01,0.55,0.01,0.23,25.44,32.13,0.15,0.02,1.75,0.02,0.20,0.76,0.75,0.27,0.49,3.16,0.26,1.37,0.00,0.10,0.19,0.07,0.00
165,Kalvin Phillips,LEE,BRN,M,95.0,0.01,0.01,0.46,0.11,0.48,24.83,29.16,0.84,0.13,0.41,0.49,0.33,0.40,1.13,0.69,0.03,0.29,0.26,1.35,0.00,0.58,0.61,0.02,0.00
166,Junior Firpo,LEE,BRN,D,95.0,0.01,0.01,0.46,0.11,0.48,35.32,41.65,1.20,0.13,0.59,0.49,0.33,0.76,1.49,0.69,0.03,0.29,0.26,1.35,0.00,0.76,0.79,0.02,0.00
167,Lucas Digne,EVE,BHA,D,95.0,0.01,0.01,0.38,0.02,1.10,14.59,20.28,3.61,1.00,1.14,0.46,0.39,0.76,0.89,0.83,0.11,1.24,0.28,1.31,0.00,0.79,1.32,0.17,0.00
168,Luke Shaw,MUN,WOL,D,95.0,0.01,0.01,0.22,0.02,0.79,19.73,24.48,2.03,0.68,0.43,0.14,0.71,0.76,0.65,0.43,0.35,0.77,0.38,0.99,0.00,0.87,0.68,0.17,0.00
169,Japhet Tanganga,TOT,WAT,D,95.0,0.01,0.01,0.14,0.01,0.18,22.44,26.44,1.32,0.34,1.19,0.18,0.33,1.05,1.19,0.76,0.62,1.67,0.48,0.76,0.00,0.39,1.33,0.26,0.00
170,Matthew Lowton,BRN,LEE,D,95.0,0.01,0.01,0.14,0.01,0.49,13.97,18.70,1.47,0.10,0.54,0.50,0.25,0.87,1.02,0.67,0.05,0.82,0.21,1.55,0.00,0.23,0.42,0.10,0.00
171,Adam Masina,WAT,TOT,D,95.0,0.01,0.01,0.06,0.02,0.31,13.32,17.99,0.68,0.13,1.06,0.38,0.23,0.29,0.65,0.43,0.19,1.48,0.12,1.96,0.00,0.08,0.60,0.01,0.00
172,Joachim Andersen,CRY,WHU,D,95.0,0.01,0.00,0.40,0.02,0.13,52.32,60.53,0.04,0.00,1.36,0.18,0.46,0.94,0.44,0.25,0.64,3.19,0.15,1.84,0.00,0.31,0.54,0.19,0.00
173,Valentino Livramento,SOU,NEW,D,95.0,0.01,0.00,0.31,0.01,0.25,16.38,21.58,1.04,0.39,1.05,0.71,0.63,1.17,1.60,0.77,0.20,1.76,0.23,1.48,0.00,0.55,0.17,0.02,0.00
174,Marc Guehi,CRY,WHU,D,95.0,0.01,0.00,0.25,0.02,0.24,52.00,58.74,0.15,0.00,1.47,0.02,0.36,0.73,0.65,0.25,0.59,3.52,0.15,1.84,0.00,0.52,0.39,0.04,0.00
175,Seamus Coleman,EVE,BHA,D,95.0,0.01,0.00,0.23,0.01,0.50,13.28,18.48,1.21,0.23,1.02,0.16,0.16,1.34,1.82,0.80,0.04,1.25,0.28,1.31,0.00,0.42,0.50,0.18,0.00
176,Cedric Soares,ARS,MCI,D,95.0,0.01,0.00,0.18,0.01,0.20,11.21,13.73,0.64,0.32,0.37,0.24,0.27,0.30,0.78,0.47,0.12,0.72,0.08,2.28,0.00,0.29,0.55,0.02,0.00
177,Craig Cathcart,WAT,TOT,D,95.0,0.01,0.00,0.07,0.01,0.09,11.44,15.01,0.62,0.07,0.91,0.07,0.07,0.32,0.99,0.14,0.23,1.17,0.12,1.96,0.00,0.44,0.64,0.02,0.00
178,Yves Bissouma,BHA,EVE,M,95.0,0.00,0.20,0.43,0.02,0.78,39.78,46.47,1.63,0.31,0.39,0.88,0.76,1.75,2.51,1.59,0.06,0.40,0.34,1.11,0.00,0.83,0.62,0.01,0.00
179,Matt Ritchie,NEW,SOU,M/D,95.0,0.00,0.17,0.52,0.01,1.87,18.28,22.10,4.86,1.60,0.93,0.22,0.64,0.22,0.55,0.33,0.03,0.68,0.26,1.37,0.00,0.49,0.85,0.01,0.00
180,Allan,EVE,BHA,M,95.0,0.00,0.16,0.92,0.38,0.87,22.34,28.78,1.19,0.13,0.59,0.98,0.66,0.76,1.91,0.87,0.61,1.72,0.28,1.31,0.00,0.35,1.11,0.13,0.00
181,Tom Cleverley,WAT,TOT,M,95.0,0.00,0.15,1.45,0.35,1.04,30.80,37.75,1.60,0.14,1.20,0.96,0.99,0.86,2.03,1.14,0.34,0.71,0.12,1.96,0.00,0.92,0.95,0.14,0.00
182,Ethan Pinnock,BRE,AVL,D,95.0,0.00,0.13,0.48,0.02,0.30,29.59,37.27,0.10,0.09,2.44,0.38,0.30,1.04,0.38,0.19,0.37,2.97,0.20,1.59,0.00,0.36,0.59,0.10,0.00
183,Victor Lindelof,MUN,WOL,D,95.0,0.00,0.13,0.29,0.13,0.15,41.14,49.30,0.01,0.00,1.58,0.05,0.12,0.61,1.14,0.43,0.64,3.45,0.38,0.99,0.00,0.48,0.43,0.09,0.00
184,Adam Lallana,BHA,EVE,M,95.0,0.00,0.10,0.33,0.02,0.67,45.46,52.71,1.63,0.31,0.54,0.82,0.86,1.11,2.18,1.32,0.06,0.45,0.34,1.11,0.00,0.88,0.62,0.01,0.00
185,Imran Louza,WAT,TOT,M,95.0,0.00,0.04,1.23,0.24,0.92,24.17,29.43,1.26,0.14,0.97,0.96,0.87,0.52,1.70,1.03,0.22,0.59,0.12,1.96,0.00,0.70,0.72,0.14,0.00
186,Mohammed Salisu,SOU,NEW,D,95.0,0.00,0.04,0.41,0.20,0.10,31.96,38.06,0.01,0.00,2.27,0.36,0.01,0.93,0.68,0.50,0.97,3.39,0.23,1.48,0.00,0.28,0.50,0.04,0.00
187,Jack Stephens,SOU,NEW,D,95.0,0.00,0.04,0.30,0.09,0.10,30.69,37.53,0.01,0.00,1.95,0.26,0.01,0.93,1.42,0.92,0.65,3.07,0.23,1.48,0.00,0.39,0.39,0.15,0.00
188,Jorginho,CHE,LIV,M,95.0,0.00,0.03,0.60,0.02,0.74,41.37,47.20,0.91,0.21,0.45,0.27,1.14,1.05,2.05,0.85,0.10,0.83,0.26,1.35,0.00,0.66,0.51,0.02,0.00
189,N'Golo Kante,CHE,LIV,M,95.0,0.00,0.03,0.60,0.02,0.52,26.38,30.62,0.91,0.21,0.35,0.27,0.93,0.74,1.31,0.64,0.10,0.72,0.26,1.35,0.00,0.44,0.41,0.02,0.00
190,Harry Maguire,MUN,WOL,D,95.0,0.00,0.03,0.50,0.13,0.05,39.98,47.82,0.01,0.00,1.58,0.15,0.23,0.72,1.35,0.54,0.64,3.35,0.38,0.99,0.00,0.58,0.43,0.20,0.00
191,Kristoffer Ajer,BRE,AVL,D,95.0,0.00,0.02,0.50,0.02,0.32,27.77,35.60,0.10,0.09,2.27,0.40,0.09,0.74,0.62,0.31,0.15,2.70,0.20,1.59,0.00,0.49,0.70,0.10,0.00
192,Pontus Jansson,BRE,AVL,D,95.0,0.00,0.02,0.38,0.02,0.30,28.22,34.95,0.10,0.09,2.65,0.16,0.09,0.93,0.59,0.40,0.15,3.18,0.20,1.59,0.00,0.26,0.59,0.10,0.00
193,Ashley Young,AVL,BRE,M,95.0,0.00,0.01,0.39,0.09,0.88,21.42,26.63,2.58,0.56,0.40,0.14,0.40,0.59,0.57,0.25,0.03,0.98,0.34,1.10,0.00,0.91,0.49,0.01,0.00
194,Charlie Taylor,BRN,LEE,D,95.0,0.00,0.01,0.13,0.01,0.68,12.58,18.78,2.72,0.65,0.93,0.22,0.40,1.09,1.19,0.64,0.42,0.76,0.21,1.55,0.00,1.04,0.69,0.17,0.00
195,Sergio Reguilon,TOT,WAT,D,95.0,0.00,0.01,0.05,0.01,0.66,13.55,18.46,1.61,0.36,0.82,0.22,0.25,1.09,0.69,0.19,0.03,1.52,0.48,0.76,0.00,0.25,0.56,0.12,0.00
196,Christian Kabasele,WAT,TOT,D,95.0,0.00,0.00,0.34,0.02,0.09,42.99,48.15,0.08,0.00,2.46,0.05,0.01,0.97,0.58,0.40,1.14,4.04,0.12,1.96,0.00,0.04,0.42,0.01,0.00
197,Pablo Mari,ARS,MCI,D,95.0,0.00,0.00,0.31,0.02,0.15,34.59,39.47,0.01,0.00,1.70,0.02,0.09,0.85,1.12,0.63,1.18,4.11,0.08,2.28,0.00,0.43,0.46,0.21,0.00
198,William Troost-Ekong,WAT,TOT,D,95.0,0.00,0.00,0.23,0.02,0.09,43.83,49.73,0.08,0.00,1.93,0.05,0.01,1.07,0.58,0.40,0.93,3.93,0.12,1.96,0.00,0.04,0.42,0.01,0.00
199,Rob Holding,ARS,MCI,D,95.0,0.00,0.00,0.21,0.02,0.05,26.26,29.76,0.01,0.00,1.18,0.02,0.09,0.53,0.59,0.31,0.76,3.06,0.08,2.28,0.00,0.32,0.35,0.11,0.00
200,Ederson,MCI,ARS,G,95.0,0.00,0.00,0.00,0.00,0.00,10.09,13.61,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.48,0.75,2.04,0.00,0.00,0.00,0.00
201,Bernd Leno,ARS,MCI,G,95.0,0.00,0.00,0.00,0.00,0.01,11.94,16.89,0.00,0.00,0.44,0.00,0.00,0.00,0.16,0.16,0.00,0.68,0.08,2.28,0.53,0.00,0.00,0.00,0.00
202,Kasper Schmeichel,LEI,NOR,G,95.0,0.00,0.00,0.00,0.00,0.01,13.37,16.89,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.33,1.12,0.67,0.00,0.00,0.00,0.00
203,Tim Krul,NOR,LEI,G,95.0,0.00,0.00,0.00,0.00,0.00,13.26,19.08,0.00,0.00,0.21,0.00,0.08,0.00,0.00,0.00,0.00,0.58,0.17,1.75,1.74,0.00,0.00,0.00,0.00
204,Freddie Woodman,NEW,SOU,G,95.0,0.00,0.00,0.00,0.00,0.00,8.98,14.25,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.26,1.37,1.14,0.00,0.00,0.00,0.00
205,Alex McCarthy,SOU,NEW,G,95.0,0.00,0.00,0.00,0.00,0.01,7.19,14.12,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.23,1.48,0.32,0.00,0.00,0.08,0.00
206,Nick Pope,BRN,LEE,G,95.0,0.00,0.00,0.00,0.00,0.00,8.35,15.20,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.21,1.55,0.75,0.00,0.00,0.00,0.00
207,Alisson Becker,LIV,CHE,G,95.0,0.00,0.00,0.00,0.00,0.00,14.36,18.20,0.00,0.00,0.68,0.00,0.00,0.00,0.08,0.08,0.00,1.06,0.29,1.25,1.83,0.00,0.00,0.00,0.00
208,Edouard Mendy,CHE,LIV,G,95.0,0.00,0.00,0.00,0.00,0.01,12.97,17.61,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.26,1.35,2.34,0.00,0.00,0.00,0.00
209,Illan Meslier,LEE,BRN,G,95.0,0.00,0.00,0.00,0.00,0.09,13.68,19.74,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.26,1.35,1.77,0.08,0.00,0.00,0.00
210,Emiliano Martinez,AVL,BRE,G,95.0,0.00,0.00,0.00,0.00,0.00,11.59,15.59,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.34,1.10,1.07,0.00,0.00,0.16,0.00
211,David Raya,BRE,AVL,G,95.0,0.00,0.00,0.00,0.00,0.01,11.15,20.85,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.20,1.59,0.10,0.00,0.00,0.00,0.00
212,Robert Sanchez,BHA,EVE,G,95.0,0.00,0.00,0.00,0.00,0.16,12.62,19.63,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.34,1.11,2.17,0.16,0.00,0.00,0.00
213,Jordan Pickford,EVE,BHA,G,95.0,0.00,0.00,0.00,0.00,0.01,7.35,14.99,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.28,1.31,1.12,0.00,0.00,0.00,0.00
214,Daniel Bachmann,WAT,TOT,G,95.0,0.00,0.00,0.00,0.00,0.01,9.57,13.01,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.12,1.96,0.57,0.00,0.08,0.00,0.00
215,Hugo Lloris,TOT,WAT,G,95.0,0.00,0.00,0.00,0.00,0.16,10.09,14.88,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.48,0.76,1.32,0.00,0.00,0.00,0.00
216,Lukasz Fabianski,WHU,CRY,G,95.0,0.00,0.00,0.00,0.00,0.00,9.14,13.45,0.00,0.00,0.13,0.00,0.16,0.00,0.00,0.00,0.00,0.42,0.42,0.90,0.59,0.00,0.00,0.00,0.00
217,Vicente Guaita,CRY,WHU,G,95.0,0.00,0.00,0.00,0.00,0.01,12.97,18.16,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.15,1.84,2.65,0.00,0.00,0.00,0.00
218,Jose Sa,WOL,MUN,G,95.0,0.00,0.00,0.00,0.00,0.00,8.27,12.43,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.17,1.70,1.97,0.00,0.16,0.00,0.00
219,David de Gea,MUN,WOL,G,95.0,0.00,0.00,0.00,0.00,0.09,11.94,15.07,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.38,0.99,2.42,0.00,0.00,0.00,0.00
