web-scraper-order,web-scraper-start-url,player,team,postion,value,popularity
"1625427931-437","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Federico Chiesa","Italien","Midtbane","4.882.000","21,5%"
"1625427931-459","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Thomas Delaney","Danmark","Midtbane","4.268.000","8,5%"
"1625427931-432","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Aaron Ramsdale","England","Mål","4.980.000","0,0%"
"1625427931-503","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Conor Coady","England","Forsvar","2.975.000","0,2%"
"1625427931-462","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Simon Kjær","Danmark","Forsvar","4.190.000","16,5%"
"1625427931-481","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jordan Henderson","England","Midtbane","3.721.000","2,1%"
"1625427931-507","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Giovanni Di Lorenzo","Italien","Forsvar","2.737.000","16,9%"
"1625427931-415","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Harry Kane","England","Angreb","9.103.000","25,0%"
"1625427931-502","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Robert Skov","Danmark","Angreb","2.975.000","0,7%"
"1625427931-504","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Diego Llorente Rios","Spanien","Forsvar","2.975.000","0,2%"
"1625427931-477","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mikkel Damsgaard","Danmark","Midtbane","3.796.000","29,6%"
"1625427931-452","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ben Chilwell","England","Forsvar","4.475.000","0,6%"
"1625427931-461","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Koke","Spanien","Midtbane","4.211.000","5,0%"
"1625427931-469","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jose Luis Gaya","Spanien","Forsvar","4.044.000","0,2%"
"1625427931-483","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Domenico Berardi","Italien","Angreb","3.703.000","7,3%"
"1625427931-433","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Harry Maguire","England","Forsvar","4.979.000","4,3%"
"1625427931-457","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Leonardo Bonucci","Italien","Forsvar","4.354.000","10,0%"
"1625427931-513","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Nicolai Boilesen","Danmark","Forsvar","2.532.000","0,6%"
"1625427931-451","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jonas Lössl","Danmark","Mål","4.475.000","0,0%"
"1625427931-446","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Thiago Alcantara","Spanien","Midtbane","4.581.000","1,9%"
"1625427931-510","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andreas Cornelius","Danmark","Angreb","2.623.000","3,0%"
"1625427931-455","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","John Stones","England","Forsvar","4.470.000","12,0%"
"1625427931-426","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Gianluigi Donnarumma","Italien","Mål","5.509.000","32,2%"
"1625427931-449","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Salvatore Sirigu","Italien","Mål","4.512.000","0,1%"
"1625427931-429","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Daniel Olmo","Spanien","Angreb","5.246.000","1,0%"
"1625427931-465","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Joakim Mæhle","Danmark","Forsvar","4.100.000","44,2%"
"1625427931-508","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Rafael Toloi","Italien","Forsvar","2.706.000","0,7%"
"1625427931-456","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Nicolo Barella","Italien","Midtbane","4.400.000","12,7%"
"1625427931-416","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Raheem Sterling","England","Angreb","8.203.000","11,4%"
"1625427931-479","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mikel Oyarzabal","Spanien","Angreb","3.757.000","0,6%"
"1625427931-472","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andreas Skov Olsen","Danmark","Angreb","3.969.000","1,6%"
"1625427931-514","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Adama Traore Diarra","Spanien","Angreb","2.512.000","0,5%"
"1625427931-453","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Robert Sanchez","Spanien","Mål","4.475.000","0,1%"
"1625427931-460","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jorginho","Italien","Midtbane","4.254.000","13,8%"
"1625427931-471","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Frederik Rønnow","Danmark","Mål","3.975.000","0,1%"
"1625427931-458","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pierre-Emile Højbjerg","Danmark","Midtbane","4.290.000","17,6%"
"1625427931-418","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Alvaro Morata","Spanien","Angreb","6.943.000","8,2%"
"1625427931-511","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Christian Nørgaard","Danmark","Midtbane","2.615.000","1,5%"
"1625427931-443","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Giorgio Chiellini","Italien","Forsvar","4.688.000","3,3%"
"1625427931-441","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Gerard Moreno","Spanien","Angreb","4.752.000","5,3%"
"1625427931-419","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jordan Pickford","England","Mål","6.645.000","3,1%"
"1625427931-490","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jonas Wind","Danmark","Angreb","3.474.000","9,3%"
"1625427931-464","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Emerson Palmieri","Italien","Forsvar","4.119.000","0,9%"
"1625427931-475","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andreas Christensen","Danmark","Forsvar","3.893.000","22,4%"
"1625427931-492","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jannik Vestergaard","Danmark","Forsvar","3.248.000","5,4%"
"1625427931-450","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Alessandro Florenzi","Italien","Forsvar","4.512.000","1,6%"
"1625427931-501","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Gaetano Castrovilli","Italien","Midtbane","3.012.000","0,1%"
"1625427931-439","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Yussuf Poulsen","Danmark","Angreb","4.807.000","5,6%"
"1625427931-424","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jadon Sancho","England","Angreb","5.589.000","1,2%"
"1625427931-491","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Manuel Locatelli","Italien","Midtbane","3.461.000","27,9%"
"1625427931-435","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","David de Gea","Spanien","Mål","4.975.000","0,4%"
"1625427931-497","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Bukayo Saka","England","Angreb","3.092.000","1,8%"
"1625427931-445","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Andrea Belotti","Italien","Angreb","4.665.000","1,2%"
"1625427931-420","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ferran Torres","Spanien","Angreb","6.421.000","6,9%"
"1625427931-434","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Sam Johnstone","England","Mål","4.975.000","0,0%"
"1625427931-425","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Phil Foden","England","Angreb","5.519.000","7,3%"
"1625427931-466","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Rodrigo Hernandez","Spanien","Midtbane","4.090.000","0,5%"
"1625427931-488","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Reece James","England","Forsvar","3.542.000","0,8%"
"1625427931-499","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Fabian Ruiz","Spanien","Midtbane","3.050.000","0,7%"
"1625427931-470","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Luke Shaw","England","Forsvar","4.023.000","25,8%"
"1625427931-428","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kasper Schmeichel","Danmark","Mål","5.265.000","42,4%"
"1625427931-489","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pablo Sarabia","Spanien","Midtbane","3.517.000","13,2%"
"1625427931-468","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Daniel Wass","Danmark","Midtbane","4.057.000","1,2%"
"1625427931-431","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Dominic Calvert-Lewin","England","Angreb","5.049.000","0,2%"
"1625427931-500","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Giacomo Raspadori","Italien","Angreb","3.012.000","0,1%"
"1625427931-498","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jude Bellingham","England","Midtbane","3.086.000","3,6%"
"1625427931-496","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mathias Jensen","Danmark","Midtbane","3.122.000","3,0%"
"1625427931-421","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Christian Eriksen","Danmark","Midtbane","6.015.000","3,6%"
"1625427931-485","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jack Grealish","England","Angreb","3.696.000","8,6%"
"1625427931-512","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Joachim Andersen","Danmark","Forsvar","2.569.000","0,5%"
"1625427931-509","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Tyrone Mings","England","Forsvar","2.676.000","2,1%"
"1625427931-506","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Matteo Pessina","Italien","Midtbane","2.918.000","1,7%"
"1625427931-480","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Francesco Acerbi","Italien","Forsvar","3.728.000","0,4%"
"1625427931-494","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jens Stryger Larsen","Danmark","Forsvar","3.216.000","3,4%"
"1625427931-484","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Declan Rice","England","Midtbane","3.700.000","11,4%"
"1625427931-516","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ben White","England","Forsvar","2.475.000","0,2%"
"1625427931-447","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcos Llorente","Spanien","Midtbane","4.563.000","2,5%"
"1625427931-444","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marco Verratti","Italien","Midtbane","4.688.000","3,9%"
"1625427931-473","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Leonardo Spinazzola","Italien","Forsvar","3.943.000","19,3%"
"1625427931-486","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pedri Gonzalez Lopez","Spanien","Midtbane","3.630.000","13,2%"
"1625427931-438","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Jordi Alba","Spanien","Forsvar","4.856.000","6,9%"
"1625427931-417","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Ciro Immobile","Italien","Angreb","6.955.000","24,6%"
"1625427931-454","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Alex Meret","Italien","Mål","4.475.000","0,0%"
"1625427931-422","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Unai Simon","Spanien","Mål","5.923.000","1,6%"
"1625427931-482","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kieran Trippier","England","Forsvar","3.716.000","4,0%"
"1625427931-440","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Martin Braithwaite","Danmark","Angreb","4.770.000","12,5%"
"1625427931-478","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kalvin Phillips","England","Midtbane","3.760.000","7,1%"
"1625427931-427","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Lorenzo Insigne","Italien","Angreb","5.508.000","19,1%"
"1625427931-430","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Marcus Rashford","England","Angreb","5.103.000","8,4%"
"1625427931-487","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Alessandro Bastoni","Italien","Forsvar","3.572.000","0,5%"
"1625427931-476","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Cesar Azpilicueta","Spanien","Forsvar","3.889.000","3,4%"
"1625427931-515","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mathias Zanka Jørgensen","Danmark","Forsvar","2.475.000","0,4%"
"1625427931-463","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Eric Garcia","Spanien","Forsvar","4.151.000","0,6%"
"1625427931-493","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Pau Torres","Spanien","Forsvar","3.243.000","10,0%"
"1625427931-436","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kyle Walker","England","Forsvar","4.903.000","4,8%"
"1625427931-467","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Federico Bernardeschi","Italien","Midtbane","4.059.000","0,5%"
"1625427931-448","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Kasper Dolberg","Danmark","Angreb","4.533.000","14,9%"
"1625427931-505","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Anders 'AC' Christiansen","Danmark","Midtbane","2.975.000","0,8%"
"1625427931-495","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Bryan Cristante","Italien","Midtbane","3.182.000","0,4%"
"1625427931-442","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Sergio Busquets","Spanien","Midtbane","4.705.000","1,8%"
"1625427931-474","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Aymeric Laporte","Spanien","Forsvar","3.935.000","9,5%"
"1625427931-423","https://www.holdet.dk/da/euro-cup-fantasy-2020/userteam/new","Mason Mount","England","Midtbane","5.676.000","14,2%"
